,Store ID,Pop class,Sales,Centre Type,Climate,Total_Store_sft,Sales_Floor_sft,Store_Frontage_ft,Store_Length_ft,Guys Segmentation,Girls Segmentation,MSA Type,Food_away_from_home,Meals_at_restaurants,Food_on_out_of_town_trips,Population_Est,Transient_Pop_Est,Seasonal_Pop_Est,Eth_White,Eth_Black,Eth_Asian,Eth_Hispanic,Eth_Other,Male_Pop,Females_Pop,Age_Average,Edu_High_school,Edu_Some_college,Edu_Clg_Assoc_deg,Edu_Clg_Bach_deg,Enroll_High_School,Enr_College_Graduate_Professional,Unemployment_Rate,Households_Est,Median_Household_Income,Average_Household_Income,Householder_under_25_yrs,Householder_25_to_44_yrs,Family_Inc_Median,Family_Inc_Agg_Avg,Family_Inc_Avg,Per_Capita_Income,Wealth_Median_Household,Wealth_Average_Household,Poverty_Pop,Male_14_to_35,Female_14_to_35,Total_Pop_14_to_35,Under_25_Low_Income,Under_25_Med_Income,Under_25_High_Income,25_to_44_Low_Income,25_to_44_Med_Income,25_to_44_High_Income
0,7,Suburban,784586.3999999998,Outlet,Frigid,4295,3641,80,60,On Trend,On Trend,45min,27.7,25.18,2.52,37341,3517,23381,35836,145,279,342,740,18430,18911,45.6,9615,5626,2819,5094,2126,1421,2.6,16278,54511,69317,365,3667,61934,763648675,73452,30450,2475059,7175119,1680,4444,4095,8539,74,285,7,683,1692,1291
1,21,Urban,975559.65,Mall,Moderate,7325,6471,57,132,Fashion Forward,Fashion Forward,15min,29.31,26.65,2.66,426160,1812,1294,302152,47888,28054,38728,9337,209877,216283,40.8,116265,53113,21384,47690,19849,23991,5.4,162552,54895,71208,3070,52878,66742,8692669103,80462,27594,20840750,65542200,21003,58486,52872,111358,1317,1396,358,11104,21417,20357
2,31,Urban,1480345.73,Outlet,Hot,4157,3592,36,102,Fashion Forward,Fashion Forward,30min,26.25,23.75,2.5,1978289,109656,34234,935114,311120,89067,587040,55949,970960,1007329,38.4,339950,274251,149618,283189,107260,168985,4.0,736698,54977,75804,28958,282993,61497,38572201054,77909,28592,40356173,128819871,107701,286481,275998,562479,14977,11109,2870,63228,120359,99407
3,34,Suburban,747152.0299999999,Outlet,Moderate,5238,4275,70,85,On Trend,On Trend,45min,24.24,22.11,2.13,307903,22931,40585,262895,24278,2542,11744,6443,150490,157412,40.4,74206,44994,16066,26123,14647,29354,4.5,123623,42494,57582,8071,34735,53385,5087938572,64415,23510,11086439,37019874,23477,45764,43429,89193,5135,2426,512,10011,15485,9238
4,67,Urban,745081.1,Outlet,Cold,3175,2935,45,73,Fashion Forward,Fashion Forward,30min,27.76,25.11,2.65,1182109,12507,5202,945240,152893,36984,20303,26688,569799,612310,42.0,235457,135451,78664,196296,52435,95944,4.1,518251,58234,81050,19780,164807,77788,27501494236,92687,36072,80539485,243833689,65968,157166,152880,310046,11249,6220,2311,32448,57978,74382
5,83,Urban,672155.54,Mall,Cold,5716,4878,49,128,On Trend,On Trend,15min,24.26,21.81,2.45,152849,3041,868,125552,13464,2644,6795,4394,74393,78456,40.3,39848,15755,8551,19661,7884,12427,4.2,62293,46229,62972,2868,19131,60240,2758866982,73914,26359,8644776,28051476,10851,22713,22320,45033,1736,1033,97,5767,8055,5309
6,84,Suburban,856940.2,Mall,Cold,6108,5043,50,127,On Trend,On Trend,15min,25.45,22.95,2.51,56015,5723,3072,45544,6031,401,2155,1883,27348,28667,42.5,14788,8635,3836,5729,2784,2872,5.3,23345,49571,66622,964,6389,60251,1076079696,73156,28512,3669876,11757051,3210,7266,7034,14300,623,298,42,1702,2649,2039
7,91,Urban,639313.5200000003,Mall,Cold,5927,5064,60,100,On Trend,On Trend,15min,25.45,23.23,2.22,55719,375,307,50864,3063,186,374,1234,26690,29029,43.6,20411,5759,3408,4383,2755,1887,5.7,23307,41601,58220,588,5952,56319,1022227778,67710,24809,2912591,9310238,4553,6986,6672,13658,415,157,17,1848,2248,1856
8,101,Suburban,1622705.33,Outlet,Warm,7508,6250,75,100,Fashion Forward,Fashion Forward,45min,27.67,25.15,2.52,1205585,12536,4766,709102,296943,28441,142865,28234,589899,615686,37.9,189623,161993,74089,172140,67000,97772,4.9,465361,57663,76656,18742,169589,66956,25075355788,81213,29932,42491424,134016851,62296,176734,167838,344572,9029,7524,2189,36201,67714,65674
9,107,Urban,1469066.55,Mall,Cold,7191,6024,58,129,Fashion Forward,Fashion Forward,15min,29.17,26.24,2.92,243983,2421,1487,131982,25691,15596,64860,5855,120361,123622,37.7,37709,31330,10538,36058,16473,17434,4.5,82748,74341,98899,2357,28276,87004,6241848581,102726,34280,11504765,32842285,7911,36954,35248,72202,1303,896,157,4636,10374,13268
